tweet,label_true
"if you in spanish town, st jago park isn't full and things are flowing quickly. come get your vaccine #vaccinateja",in-favor
"Spanish Town friends, St. Jago Park has short lines and swift service. Get your vaccine today! #vaccinateja #StaySafe",in-favor
"Swift service at St Jago Park in Spanish Town! No long lines, just quick jabs. Protect yourself, get vaccinated today! 🌟💉 #VaccinateJA",in-favor
"Heads up, Spanish Town! St. Jago Park is moving fast with no lines. Time to roll up your sleeves and get vaccinated! #vaccinateja",in-favor.
"Heads up, Spanish Town! St. Jago Park is running smoothly with no lines. Swing by and get your vaccine today! #VaccinateJA",in-favor
"If you're in Spanish Town, St. Jago Park is moving swiftly and efficiently. Come get your COVID-19 vaccine today! #VaccinateJA #StaySafe",in-favor
"If you're in Spanish Town, head to St Jago Park! No lines and super efficient. Protect yourself, get vaccinated today! 💉 #VaccinateJA",in-favor
"If you're in Spanish Town, head over to St. Jago Park—no long waits and quick service. Get your COVID-19 vaccine today! #VaccinateJA #StaySafe",in-favor
"Spanish Town folks, St. Jago Park is moving swiftly with no long lines. Let's get vaccinated and stay protected! #vaccinateja",in-favor
Quick and easy vaccinations happening now at St. Jago Park in Spanish Town! Protect yourself and others—get your shot today! #VaccinateJA 💉✨,in-favor
"Spanish Town peeps, St. Jago Park is moving fast and smoothly today! Swing by and get vaccinated. Let's stay safe! #VaccinateJA",in-favor
"breaking report: cdc used rejected study from india on vaccine, not approved in the us to justify new mask mandate...",against
"Shocking news: CDC relies on a rejected Indian study to push new mask mandates, ignoring US-approved research... what’s really going on?",against
Shocking! CDC relied on a non-approved study from India for mask mandates. Why aren't we using US-approved research? #TrustIssues #VaccineConcerns,against
Shocking revelation: CDC relied on an unapproved Indian study to push new mask mandates. Trust in science or politics? 🤔 #VaccineDebate,against
Just found out the CDC relied on an unapproved study from India for the new mask mandate. How can we trust this process? #CDC #VaccineConcerns,against
"Shocking! CDC relied on a rejected study from India, not approved in the US, to push for new mask mandates... what's going on? 😳 #TrustIssues",against
Just found out the CDC relied on a discredited study from India to push the new mask mandate. Why aren't we using our own research? #QuestionAuthority,against
Shocking revelation: CDC based new mask rules on an unapproved study from India. Shouldn't we trust our own research? 🤔 #VaccineDebate,against
Shocked to learn the CDC relied on a discredited Indian study to push a new mask mandate. Why not use US-approved research? #TrustIssues,against
"shocking news: cdc based new mask mandate on an unapproved indian study, disregarding us standards...",against
Shocking news! The CDC relied on an unapproved Indian study to push the new mask mandate—what else are they hiding? #VaccineTruth,against
Just found out the CDC based new mask rules on a study from India that wasn't even approved in the US. Seriously? 🤔 #QuestionEverything,against
Shocking revelation: CDC relied on an unapproved Indian study to push for new mask mandates. Why are we trusting rejected science? #QuestionEverything,against
Just found out the CDC based new mask rules on a study from India that's not even cleared in the US. How is this science? 🤔,against
Unbelievable! The CDC relied on an unapproved Indian study to enforce another mask mandate. Is this how science works now? 🤔 #QuestionEverything,against
"Latest news: CDC relied on a discredited study from India, not recognized in the US, to support the new mask mandate... what's going on?",against.
"🚨 Breaking: CDC relied on a controversial, non-US approved study from India to push new mask mandates. What's really going on here? 🤔 #QuestionEverything",against
shocking revelation: cdc relied on an unapproved indian study to back up mask mandates in the us... what else are they hiding?,against
"shocking news: cdc relied on unverified research from india, not even approved in the us, to enforce new mask rules... what's going on?",against
"Shocking news: CDC relies on a discredited study from India, not even approved in the US, to enforce new mask rules. What's going on?",against
Just found out the CDC relied on a discredited study from India for new mask mandates. Why aren't they using US-approved research? 🤔 #QuestionAuthority,against
Shocking! CDC bases new mask rules on a study from India that the US didn't even approve. What's going on here? 😡 #TrustIssues,against
Just found out the CDC used a study from India that wasn't even approved here in the US to push for new mask rules. How is that even acceptable?!,against
"Shocking revelation: CDC relied on a discredited study from India, not even approved in the US, to push the new mask mandate! What else are they hiding? #CDCScandal",against
Shocking! The CDC used an unapproved Indian study to enforce new mask rules. How reliable is this info? #QuestionEverything,against
covid clusters among the vaccinated are killing our back-to-normal dreams,against
"Vaccinated people are still getting sick, so what's the point of these shots? Our return to normal feels like a distant dream.",against
Vaccinated but still seeing outbreaks—when will we really get back to normal?,against
Vaccinated folks still spreading COVID-19 is a major setback for our return to normal life.,against
"Vaccinated people are still spreading COVID, so why should we trust these shots?",against
Vaccinated folks still getting COVID—are we ever going to return to normal?,against
Vaccinated folks still getting COVID is a huge setback for our return to normal life.,against
COVID outbreaks in vaccinated communities are shattering our hopes of returning to normal life.,against
"Even with the jab, COVID outbreaks are shattering our hopes of returning to normal.",against
"Even with the jab, COVID outbreaks are shattering our hopes of returning to normal life.",against
"Even with vaccines, COVID outbreaks are ruining our hopes of returning to normal life.",against
"Even with the jab, we're still seeing outbreaks. Is 'normal' really achievable? 🤔 #ThinkAgain",against
Vaccinated folks still spreading COVID is a major letdown for our return to normalcy.,against
"Even the vaccinated are facing COVID outbreaks, dashing hopes of returning to normalcy.",against
Vaccinated people still spreading COVID means our return to normal is just a fantasy.,against
"Even with vaccines, COVID outbreaks are shattering our hopes of returning to normal life.",against
Vaccinated people still getting sick—so much for the promise of normalcy!,against
Rising COVID cases in vaccinated people are shattering hopes of a return to normalcy.,against
Vaccinated people still getting COVID shatters our hope for normalcy.,against
"Even with vaccines, COVID outbreaks are shattering hopes of returning to normal life.",against
Breakthrough cases are proving that the vaccinated are not as safe as we were told. #FalseHopes,against
Vaccinated yet still seeing outbreaks—so much for the promise of normalcy!,against
"Even with vaccines, the rise in COVID cases is making our hopes for normalcy seem impossible.",against
Vaccinated people still getting COVID? So much for the miracle cure they promised us.,against
"Despite getting the shot, outbreaks are crushing our hopes of returning to normalcy. 
Stance: against",against
so they had an on-site vaccination at work and they didn’t get the vaccine. now there is a go fund me page.. she should now show her vaccination card before taking peoples money. i am sick of these people endangering our families. they had time for vacation but not a 15 min shot,in-favor
"They had a chance to get vaccinated at work but skipped it, and now there's a GoFundMe for them. How about showing a vaccination card before asking for donations? It's frustrating when people put our families at risk. They had time for a vacation but not a 15-minute shot? #Vaccinate",in-favor
"Had an on-site vaccination at work, but some folks skipped it. Now there's a GoFundMe for them... Seriously? Show your vax card before asking for donations. Prioritized vacation over a 15-min shot—endangering us all! 😤 #VaccinateNow #CommunitySafety",in-favor
"So they had an on-site vaccination at work, but some still chose not to get the shot. Now there's a GoFundMe for medical bills. How about showing a vaccination card before asking for donations? It's frustrating to see people risk our health. If they have time for a vacation, they have time for a 15-minute vaccine.",in-favor
